ID;Traditional;Simplified;Pinyin;Meaning
8800;清新;清新;qīngxīn;fresh
8801;清真寺;清真寺;qīngzhēnsì;mosque
8802;情;情;qíng;affection
8803;情報;情报;qíngbào;intelligence
8804;情不自禁;情不自禁;qíngbùzìjīn;unable to help
8805;情調;情调;qíngdiào;mood
8806;情懷;情怀;qínghuái;sentiment
8807;情結;情结;qíngjié;complex
8808;情侶;情侣;qínglǚ;couple
8809;情人;情人;qíngrén;lover
8810;情誼;情谊;qíngyì;friendship
8811;情願;情愿;qíngyuàn;willing
8812;請柬;请柬;qǐngjiǎn;invitation
8813;請帖;请帖;qǐngtiě;invitation
8814;慶典;庆典;qìngdiǎn;celebration
8815;慶賀;庆贺;qìnghè;celebration
8816;慶幸;庆幸;qìngxìng;fortunately
8817;丘陵;丘陵;qiūlíng;hills
8818;囚犯;囚犯;qiúfàn;prisoner
8819;求婚;求婚;qiúhūn;proposal
8820;求救;求救;qiújiù;sos
8821;求學;求学;qiúxué;studying
8822;求醫;求医;qiúyī;seeking medical treatment
8823;求證;求证;qiúzhèng;verification required
8824;求助;求助;qiúzhù;help
8825;曲線;曲线;qūxiàn;curve
8826;曲折;曲折;qūzhé;tortuous
8827;驅動;驱动;qūdòng;drive
8828;驅逐;驱逐;qūzhú;expulsion
8829;屈服;屈服;qūfú;yield
8830;趨於;趋于;qūyú;tending to
8831;曲;曲;qǔ;song
8832;取代;取代;qǔdài;replace
8833;取締;取缔;qǔdì;outlaw
8834;取而代之;取而代之;qǔ'érdàizhī;replace
8835;取經;取经;qǔjīng;journey to the west
8836;取決於;取决于;qǔjué yú;depends on
8837;取暖;取暖;qǔnuǎn;heating
8838;取勝;取胜;qǔshèng;win
8839;取笑;取笑;qǔxiào;make fun of
8840;娶;娶;qǔ;marry
8841;去除;去除;qùchú;remove
8842;去處;去处;qùchù;where to go
8843;去向;去向;qùxiàng;destination
8844;趣味;趣味;qùwèi;taste
8845;圈套;圈套;quāntào;trap
8846;圈子;圈子;quānzi;circle
8847;權衡;权衡;quánhéng;weigh
8848;權威;权威;quánwēi;authority
8849;權益;权益;quányì;rights and interests
8850;全長;全长;quáncháng;total length
8851;全程;全程;quánchéng;full process
8852;全方位;全方位;quánfāngwèi;all-round
8853;全局;全局;quánjú;global
8854;全力以赴;全力以赴;quánlìyǐfù;go all out
8855;全能;全能;quánnéng;all-round
8856;全文;全文;quánwén;full text
8857;全心全意;全心全意;quánxīn-quányì;whole-heartedly
8858;拳;拳;quán;fist
8859;拳頭;拳头;quántóu;fist
8860;勸告;劝告;quàngào;advice
8861;勸說;劝说;quànshuō;persuade
8862;勸阻;劝阻;quànzǔ;dissuading
8863;缺口;缺口;quēkǒu;gap
8864;缺失;缺失;quēshī;missing
8865;缺席;缺席;quēxí;absent
8866;確切;确切;quèqiè;confirm
8867;確信;确信;quèxìn;convinced
8868;確鑿;确凿;quèzáo;confirmed
8869;確診;确诊;quèzhěn;confirmed
8870;燃放;燃放;ránfàng;setting off
8871;燃氣;燃气;ránqì;gas
8872;燃油;燃油;rányóu;fuel
8873;嚷;嚷;rǎng;shout
8874;讓步;让步;ràngbù;concession
8875;饒;饶;ráo;rao
8876;饒恕;饶恕;ráoshù;forgive
8877;擾亂;扰乱;rǎoluàn;disturbance
8878;繞行;绕行;ràoxíng;circumnavigation
8879;惹;惹;rě;provoke
8880;熱潮;热潮;rècháo;craze
8881;熱帶;热带;rèdài;tropical
8882;熱氣;热气;rèqì;hot
8883;熱氣球;热气球;rèqìqiú;hot air balloon
8884;熱騰騰;热腾腾;rèténgténg;hot
8885;熱衷;热衷;rèzhōng;passionate
8886;人次;人次;réncì;number of people
8887;人道;人道;réndào;humane
8888;人格;人格;réngé;personality
8889;人工智能;人工智能;réngōng-zhìnéng;ai
8890;人均;人均;rénjūn;per capita
8891;人品;人品;rénpǐn;character
8892;人氣;人气;rénqì;popularity
8893;人情;人情;rénqíng;human relationships
8894;人身;人身;rénshēn;personal
8895;人事;人事;rénshì;personnel
8896;人手;人手;rénshǒu;manpower
8897;人體;人体;réntǐ;human body
8898;人為;人为;rénwéi;human
8899;人文;人文;rénwén;humanities
8900;人行道;人行道;rénxíngdào;sidewalk
8901;人性;人性;rénxìng;human nature
8902;人選;人选;rénxuǎn;candidates
8903;人緣兒;人缘儿;rényuánr;popularity
8904;人造;人造;rénzào;artificial
8905;人質;人质;rénzhì;hostages
8906;仁慈;仁慈;réncí;kindness
8907;忍飢挨餓;忍饥挨饿;rěnjī-ái'è;enduring hunger
8908;忍耐;忍耐;rěnnài;endure
8909;忍心;忍心;rěnxīn;heartless
8910;認錯;认错;rèncuò;admitting mistakes
8911;認證;认证;rènzhèng;certification
8912;認知;认知;rènzhī;cognition
8913;任命;任命;rènmìng;appointment
8914;任期;任期;rènqī;term of office
8915;任人宰割;任人宰割;rènrén-zǎigē;to be slaughtered
8916;任意;任意;rènyì;any
8917;任職;任职;rènzhí;job
8918;韌性;韧性;rènxìng;toughness
8919;日程;日程;rìchéng;schedule
8920;日復一日;日复一日;rìfùyīrì;day after day
8921;日後;日后;rìhòu;in the future
8922;日前;日前;rìqián;recently
8923;日趨;日趋;rìqū;japanese
8924;日新月異;日新月异;rìxīn-yuèyì;rapidly changing
8925;日益;日益;rìyì;increasingly
8926;榮獲;荣获;rónghuò;honor
8927;榮幸;荣幸;róngxìng;pleasure
8928;榮譽;荣誉;róngyù;honor
8929;容光煥發;容光焕发;róngguāng-huànfā;radiant
8930;容量;容量;róngliàng;capacity
8931;容納;容纳;róngnà;capacity
8932;容忍;容忍;róngrěn;tolerate
8933;容許;容许;róngxǔ;allow
8934;容顏;容颜;róngyán;face
8935;溶解;溶解;róngjiě;dissolve
8936;融;融;róng;melt
8937;融化;融化;rónghuà;melt
8938;融洽;融洽;róngqià;harmony
8939;冗長;冗长;rǒngcháng;lengthy
8940;柔和;柔和;róuhé;soft
8941;柔軟;柔软;róuruǎn;soft
8942;揉;揉;róu;rub
8943;如果說;如果说;rúguǒ shuō;if
8944;如實;如实;rúshí;as it is
8945;如意;如意;rúyì;as one wishes
8946;如願以償;如愿以偿;rúyuànyǐcháng;as desired
8947;如醉如癡;如醉如痴;rúzuì-rúchī;as if drunk or infatuated
8948;儒家;儒家;Rújiā;confucianism
8949;儒學;儒学;rúxué;confucianism
8950;入場;入场;rùchǎng;admission
8951;入場券;入场券;rùchǎngquàn;admission ticket
8952;入境;入境;rùjìng;entry
8953;入侵;入侵;rùqīn;intrusion
8954;入手;入手;rùshǒu;get it
8955;入選;入选;rùxuǎn;selected
8956;軟弱;软弱;ruǎnruò;weak
8957;軟實力;软实力;ruǎnshílì;soft power
8958;瑞雪;瑞雪;ruìxuě;snow
8959;潤;润;rùn;run
8960;若干;若干;ruògān;several
8961;弱點;弱点;ruòdiǎn;weakness
8962;弱勢;弱势;ruòshì;weakness
8963;撒;撒;sā;spread
8964;撒謊;撒谎;sāhuǎng;lying
8965;賽車;赛车;sàichē;racing
8966;賽跑;赛跑;sàipǎo;race
8967;三番五次;三番五次;sānfān-wǔcì;repeatedly
8968;三角;三角;sānjiǎo;triangle
8969;三維;三维;sānwéi;3d
8970;散佈;散布;sànbù;scatter
8971;散發;散发;sànfā;disperse
8972;桑拿;桑拿;sāngná;sauna
8973;嗓子;嗓子;sǎngzi;voice
8974;喪生;丧生;sàngshēng;death
8975;騷亂;骚乱;sāoluàn;riot
8976;騷擾;骚扰;sāorǎo;harassment
8977;掃除;扫除;sǎochú;clean up
8978;掃描;扫描;sǎomiáo;scan
8979;掃墓;扫墓;sǎomù;tomb sweeping
8980;掃興;扫兴;sǎoxìng;disappointing
8981;嫂子;嫂子;sǎozi;sister in law
8982;僧人;僧人;sēngrén;monks
8983;殺害;杀害;shāhài;murder
8984;殺手;杀手;shāshǒu;killer
8985;沙龍;沙龙;shālóng;salon
8986;沙灘;沙滩;shātān;beach
8987;紗;纱;shā;yarn
8988;剎車;刹车;shāchē;brakes
8989;砂糖;砂糖;shātáng;granulated sugar
8990;鯊魚;鲨鱼;shāyú;shark
8991;傻瓜;傻瓜;shǎguā;fool
8992;篩;筛;shāi;sieve
8993;篩選;筛选;shāixuǎn;screening
8994;曬太陽;晒太阳;shài tàiyáng;sunbathing
8995;山川;山川;shānchuān;mountains and rivers
8996;山頂;山顶;shāndǐng;top of mountain
8997;山岡;山冈;shāngāng;hills
8998;山嶺;山岭;shānlǐng;mountain
8999;山路;山路;shānlù;mountain road
9000;山寨;山寨;shānzhài;copycat
9001;刪;删;shān;delete
9002;刪除;删除;shānchú;delete
9003;煽動;煽动;shāndòng;incitement
9004;閃爍;闪烁;shǎnshuò;flashing
9005;善;善;shàn;good
9006;善意;善意;shànyì;bona fide
9007;擅長;擅长;shàncháng;skilled
9008;擅自;擅自;shànzì;unauthorized
9009;膳食;膳食;shànshí;meal
9010;贍養;赡养;shànyǎng;sun and yang
9011;傷殘;伤残;shāngcán;disability
9012;傷感;伤感;shānggǎn;sadness
9013;傷痕;伤痕;shānghén;scars
9014;傷腦筋;伤脑筋;shāng nǎojīn;troublesome
9015;傷勢;伤势;shāngshì;injury
9016;商販;商贩;shāngfàn;merchants
9017;商賈;商贾;shānggǔ;merchants
9018;商討;商讨;shāngtǎo;discussion
9019;上報;上报;shàngbào;report
9020;上場;上场;shàngchǎng;come on
9021;上方;上方;shàngfāng;above
9022;上崗;上岗;shànggǎng;on duty
9023;上火;上火;shànghuǒ;get a sore throat
9024;上空;上空;shàngkōng;above
9025;上流;上流;shàngliú;upper class
9026;上期;上期;shàng qī;last issue
9027;上任;上任;shàngrèn;take office
9028;上述;上述;shàngshù;the above
9029;上司;上司;shàngsi;boss
9030;上訴;上诉;shàngsù;appeal
9031;上調;上调;shàngtiáo;upward
9032;上頭;上头;shàngtou;above
9033;上限;上限;shàngxiàn;upper limit
9034;上旬;上旬;shàngxún;early ten days
9035;上癮;上瘾;shàngyǐn;addiction
9036;上映;上映;shàngyìng;released
9037;上游;上游;shàngyóu;upstream
9038;尚;尚;shàng;still
9039;尚未;尚未;shàngwèi;not yet
9040;捎;捎;shāo;take along
9041;燒燬;烧毁;shāohuǐ;burn
9042;燒烤;烧烤;shāokǎo;bbq
9043;稍後;稍后;shāohòu;later
9044;稍候;稍候;shāohòu;a little while
9045;稍稍;稍稍;shāoshāo;slightly
9046;少不了;少不了;shǎobuliǎo;indispensable
9047;少見;少见;shǎojiàn;rare
9048;少量;少量;shǎoliàng;small amount
9049;少有;少有;shǎoyǒu;rare
9050;少林寺;少林寺;Shàolín Sì;shaolin temple
9051;少女;少女;shàonǚ;girl
9052;奢侈;奢侈;shēchǐ;luxury
9053;奢望;奢望;shēwàng;extravagant hope
9054;設;设;shè;set
9055;設定;设定;shèdìng;settings
9056;設法;设法;shèfǎ;solution
9057;社會主義;社会主义;shèhuì zhǔyì;socialism
9058;社交;社交;shèjiāo;social contact
9059;社論;社论;shèlùn;editorial
9060;社團;社团;shètuán;clubs
9061;涉嫌;涉嫌;shèxián;suspected
9062;攝氏度;摄氏度;shèshìdù;degrees celsius
9063;誰知道;谁知道;shéi zhīdào;who knows
9064;申辦;申办;shēnbàn;application
9065;申報;申报;shēnbào;declaration
9066;申領;申领;shēnlǐng;apply
9067;伸手;伸手;shēnshǒu;reach out
9068;伸縮;伸缩;shēnsuō;telescopic
9069;伸張;伸张;shēnzhāng;stretch
9070;身不由己;身不由己;shēnbùyóujǐ;helpless
9071;身價;身价;shēnjià;net worth
9072;身軀;身躯;shēnqū;body
9073;身心;身心;shēnxīn;body and mind
9074;身影;身影;shēnyǐng;figure
9075;身子;身子;shēnzi;body
9076;紳士;绅士;shēnshì;gentleman
9077;深奧;深奥;shēn'ào;profound
9078;深切;深切;shēnqiè;deep
9079;深情;深情;shēnqíng;deep feeling
9080;深入人心;深入人心;shēnrù-rénxīn;deeply rooted in people's hearts
9081;深受;深受;shēnshòu;deeply
9082;深思;深思;shēnsī;deep thought
9083;深信;深信;shēnxìn;firmly believe
9084;深夜;深夜;shēnyè;late at night
9085;深遠;深远;shēnyuǎn;deep
9086;神氣;神气;shénqì;spirit
9087;神聖;神圣;shénshèng;holy
9088;神態;神态;shéntài;expression
9089;神仙;神仙;shénxiān;immortal
9090;審;审;shěn;review
9091;審定;审定;shěndìng;approval
9092;審核;审核;shěnhé;review
9093;審美;审美;shěnměi;aesthetics
9094;審判;审判;shěnpàn;trial
9095;審批;审批;shěnpī;approval
9096;審視;审视;shěnshì;review
9097;腎;肾;shèn;kidney
9098;甚至於;甚至于;shènzhìyú;even
9099;滲;渗;shèn;permeation
9100;滲透;渗透;shèntòu;infiltration
9101;慎重;慎重;shènzhòng;careful
9102;升溫;升温;shēngwēn;warming
9103;生機;生机;shēngjī;vitality
9104;生理;生理;shēnglǐ;physiological
9105;生命線;生命线;shēngmìngxiàn;lifeline
9106;生怕;生怕;shēngpà;fear
9107;生平;生平;shēngpíng;biography
9108;生前;生前;shēngqián;before his death
9109;生死;生死;shēngsǐ;life and death
9110;生態;生态;shēngtài;ecology
9111;生物;生物;shēngwù;biology
9112;生效;生效;shēngxiào;effective
9113;生涯;生涯;shēngyá;career
9114;生硬;生硬;shēngyìng;stiff
9115;生育;生育;shēngyù;childbirth
9116;聲稱;声称;shēngchēng;statement
9117;聲望;声望;shēngwàng;reputation
9118;聲譽;声誉;shēngyù;reputation
9119;牲畜;牲畜;shēngchù;livestock
9120;繩子;绳子;shéngzi;rope
9121;省略;省略;shěnglüè;omit
9122;省事;省事;shěngshì;save trouble
9123;聖賢;圣贤;shèngxián;sage
9124;勝出;胜出;shèngchū;win
9125;勝任;胜任;shèngrèn;competent
9126;盛大;盛大;shèngdà;grand
9127;盛會;盛会;shènghuì;grand event
9128;盛開;盛开;shèngkāi;blooming
9129;盛氣凌人;盛气凌人;shèngqì-língrén;overbearing
9130;剩餘;剩余;shèngyú;remaining
9131;屍體;尸体;shītǐ;corpse
9132;失傳;失传;shīchuán;lost
9133;失控;失控;shīkòng;out of control
9134;失利;失利;shīlì;loss
9135;失戀;失恋;shīliàn;heartbreak
9136;失靈;失灵;shīlíng;malfunction
9137;失落;失落;shīluò;loss
9138;失眠;失眠;shīmián;insomnia
9139;失明;失明;shīmíng;blindness
9140;失效;失效;shīxiào;failure
9141;失業率;失业率;shīyèlǜ;unemployment rate
9142;失蹤;失踪;shīzōng;missing
9143;師範;师范;shīfàn;teacher training
9144;師長;师长;shīzhǎng;teacher
9145;師資;师资;shīzī;teachers
9146;獅子;狮子;shīzi;lion
9147;施工;施工;shīgōng;construction
9148;施加;施加;shījiā;apply
9149;施行;施行;shīxíng;implement
9150;施壓;施压;shīyā;applying pressure
9151;濕度;湿度;shīdù;humidity
9152;濕潤;湿润;shīrùn;moist
9153;十字路口;十字路口;shízì lùkǒu;crossroads
9154;時不時;时不时;shíbùshí;from time to time
9155;時段;时段;shíduàn;time period
9156;時隔;时隔;shí gé;time
9157;時好時壞;时好时坏;shíhǎo-shíhuài;good and bad
9158;時間表;时间表;shíjiānbiǎo;schedule
9159;時空;时空;shíkōng;time and space
9160;時髦;时髦;shímáo;fashionable
9161;時尚;时尚;shíshàng;fashion
9162;時速;时速;shísù;speed
9163;識別;识别;shíbié;identification
9164;實地;实地;shídì;real
9165;實話;实话;shíhuà;the truth
9166;實話實說;实话实说;shíhuà-shíshuō;to be honest
9167;實況;实况;shíkuàng;live
9168;實事求是;实事求是;shíshì-qiúshì;seeking truth from facts
9169;實體;实体;shítǐ;entity
9170;實物;实物;shíwù;physical object
9171;實質;实质;shízhì;substance
9172;食宿;食宿;shísù;food and lodging
9173;食用;食用;shíyòng;edible
9174;史無前例;史无前例;shǐwúqiánlì;unprecedented
9175;使喚;使唤;shǐhuan;use
9176;使命;使命;shǐmìng;mission
9177;使者;使者;shǐzhě;messenger
9178;士氣;士气;shìqì;morale
9179;示威;示威;shìwēi;demonstration
9180;示意;示意;shìyì;indication
9181;世代;世代;shìdài;generations
9182;世故;世故;shìgu;worldliness
9183;世界級;世界级;shìjiè jí;world-class
9184;世襲;世袭;shìxí;hereditary
9185;市場經濟;市场经济;shìchǎng jīngjì;market economy
9186;勢必;势必;shìbì;inevitably
9187;勢不可當;势不可当;shìbùkědāng;the momentum is unstoppable
9188;勢頭;势头;shìtou;momentum
9189;事跡;事迹;shìjì;deeds
9190;事態;事态;shìtài;state of affairs
9191;事務;事务;shìwù;affairs
9192;事務所;事务所;shìwùsuǒ;office
9193;事項;事项;shìxiàng;matters
9194;事宜;事宜;shìyí;matters
9195;侍候;侍候;shìhòu;serve
9196;試探;试探;shìtan;test
9197;試行;试行;shìxíng;trial
9198;試用;试用;shìyòng;trial
9199;試用期;试用期;shìyòngqī;trial period
9200;視察;视察;shìchá;inspection
9201;視角;视角;shìjiǎo;perspective
9202;視覺;视觉;shìjué;visual
9203;視力;视力;shìlì;vision
9204;視線;视线;shìxiàn;gaze
9205;視野;视野;shìyě;field of vision
9206;柿子;柿子;shìzi;persimmon
9207;是非;是非;shìfēi;right and wrong
9208;適度;适度;shìdù;moderate
9209;適量;适量;shìliàng;appropriate amount
9210;適時;适时;shìshí;timely
9211;適宜;适宜;shìyí;suitable
9212;逝世;逝世;shìshì;passed away
9213;釋放;释放;shìfàng;release
9214;嗜好;嗜好;shìhào;hobby
9215;收復;收复;shōufù;recapture
9216;收據;收据;shōujù;receipt
9217;收斂;收敛;shōuliǎn;agglomeration
9218;收留;收留;shōuliú;take in
9219;收買;收买;shōumǎi;purchase
9220;收視率;收视率;shōushìlǜ;ratings
9221;收縮;收缩;shōusuō;contraction
9222;收支;收支;shōuzhī;income and expenditure
9223;手臂;手臂;shǒubì;arm
9224;手冊;手册;shǒucè;manual
9225;手動;手动;shǒudòng;manual
9226;手腳;手脚;shǒujiǎo;hands and feet
9227;手帕;手帕;shǒupà;handkerchief
9228;手槍;手枪;shǒuqiāng;pistol
9229;手勢;手势;shǒushì;gestures
9230;手術室;手术室;shǒushùshì;operating room
9231;手頭;手头;shǒutóu;on hand
9232;手腕;手腕;shǒuwàn;wrist
9233;手藝;手艺;shǒuyì;craftsmanship
9234;手掌;手掌;shǒuzhǎng;palm
9235;守候;守候;shǒuhòu;waiting
9236;守護;守护;shǒuhù;guardian
9237;守株待兔;守株待兔;shǒuzhū-dàitù;waiting for a rabbit to run into a tree stump
9238;首創;首创;shǒuchuàng;first
9239;首府;首府;shǒufǔ;capital
9240;首批;首批;shǒupī;first batch
9241;首飾;首饰;shǒushì;jewelry
9242;首要;首要;shǒuyào;first
9243;壽命;寿命;shòumìng;lifespan
9244;受過;受过;shòuguò;received
9245;受害;受害;shòuhài;victim
9246;受害人;受害人;shòuhàirén;victim
9247;受賄;受贿;shòuhuì;bribery
9248;受驚;受惊;shòujīng;startled
9249;受苦;受苦;shòukǔ;suffer
9250;受理;受理;shòulǐ;acceptance
9251;受騙;受骗;shòupiàn;deceived
9252;受益;受益;shòuyì;benefit
9253;授權;授权;shòuquán;authorization
9254;授予;授予;shòuyǔ;grant
9255;售價;售价;shòujià;price
9256;售票;售票;shòupiào;tickets
9257;書櫥;书橱;shūchú;bookcase
9258;書籍;书籍;shūjí;books
9259;書記;书记;shūjì;secretary
9260;書面;书面;shūmiàn;written
9261;書寫;书写;shūxiě;writing
9262;抒情;抒情;shūqíng;lyrical
9263;樞紐;枢纽;shūniǔ;pivot
9264;梳;梳;shū;comb
9265;梳理;梳理;shūlǐ;sorting out
9266;梳子;梳子;shūzi;comb
9267;舒暢;舒畅;shūchàng;shu chang
9268;疏導;疏导;shūdǎo;guidance
9269;疏忽;疏忽;shūhu;negligence
9270;疏散;疏散;shūsàn;evacuation
9271;疏通;疏通;shūtōng;dredge
9272;輸家;输家;shūjiā;loser
9273;輸送;输送;shūsòng;convey
9274;輸血;输血;shūxuè;blood transfusion
9275;輸液;输液;shūyè;infusion
9276;贖;赎;shú;redemption
9277;暑期;暑期;shǔqī;summer
9278;屬性;属性;shǔxìng;attributes
9279;曙光;曙光;shǔguāng;dawn
9280;束縛;束缚;shùfù;restraint
9281;樹立;树立;shùlì;tree
9282;樹木;树木;shùmù;trees
9283;樹梢;树梢;shùshāo;treetops
9284;樹蔭;树荫;shùyīn;shade
9285;樹枝;树枝;shùzhī;tree branches
9286;豎;竖;shù;vertical
9287;數額;数额;shù'é;amount
9288;數據庫;数据库;shùjùkù;database
9289;刷新;刷新;shuāxīn;refresh
9290;耍;耍;shuǎ;play
9291;耍賴;耍赖;shuǎlài;cheating
9292;衰減;衰减;shuāijiǎn;decay
9293;衰竭;衰竭;shuāijié;exhaustion
9294;衰老;衰老;shuāilǎo;senescence
9295;衰弱;衰弱;shuāiruò;weak
9296;衰退;衰退;shuāituì;decline
9297;摔跤;摔跤;shuāijiāo;wrestling
9298;甩;甩;shuǎi;swing
9299;率;率;shuài;rate
9300;拴;拴;shuān;tether
9301;涮;涮;shuàn;rinse
9302;雙胞胎;双胞胎;shuāngbāotāi;twins
9303;雙邊;双边;shuāngbiān;bilateral
9304;雙重;双重;shuāngchóng;double
9305;雙向;双向;shuāngxiàng;bidirectional
9306;雙贏;双赢;shuāngyíng;win-win
9307;霜;霜;shuāng;frost
9308;爽快;爽快;shuǎngkuai;readily
9309;水槽;水槽;shuǐcáo;sink
9310;水稻;水稻;shuǐdào;rice
9311;水管;水管;shuǐguǎn;water pipe
9312;水壺;水壶;shuǐhú;water bottle
9313;水貨;水货;shuǐhuò;parallel imports
9314;水晶;水晶;shuǐjīng;crystal
9315;水利;水利;shuǐlì;water conservancy
9316;水靈靈;水灵灵;shuǐlínglíng;watery
9317;水龍頭;水龙头;shuǐlóngtóu;water tap
9318;水落石出;水落石出;shuǐluò-shíchū;the truth will come out
9319;水面;水面;shuǐmiàn;water surface
9320;水手;水手;shuǐshǒu;sailor
9321;水溫;水温;shuǐwēn;water temperature
9322;水域;水域;shuǐyù;waters
9323;水源;水源;shuǐyuán;water source
9324;水漲船高;水涨船高;shuǐzhǎng-chuángāo;the water rises and the boat rises.
9325;水準;水准;shuǐzhǔn;level
9326;稅收;税收;shuìshōu;taxes
9327;稅務;税务;shuìwù;tax
9328;睡袋;睡袋;shuìdài;sleeping bag
9329;順便;顺便;shùnbiàn;by the way
9330;順差;顺差;shùnchā;surplus
9331;順暢;顺畅;shùnchàng;smooth
9332;順從;顺从;shùncóng;obedience
9333;順理成章;顺理成章;shùnlǐ-chéngzhāng;logically
9334;順路;顺路;shùnlù;by the way
9335;順其自然;顺其自然;shùnqízìrán;go with the flow
9336;順勢;顺势;shùnshì;take advantage of the situation
9337;順手;顺手;shùnshǒu;by the way
9338;順心;顺心;shùnxīn;smooth
9339;順應;顺应;shùnyìng;compliance
9340;順著;顺着;shùnzhe;following
9341;瞬間;瞬间;shùnjiān;in an instant
9342;說白了;说白了;shuōbáile;to put it bluntly
9343;說不上;说不上;shuōbushàng;i can't say
9344;說到底;说到底;shuōdàodǐ;ultimately
9345;說道;说道;shuōdao;preaching
9346;說幹就幹;说干就干;shuō gàn jiù gàn;just do it
9347;說謊;说谎;shuōhuǎng;lying
9348;說老實話;说老实话;shuō lǎoshi huà;to be honest
9349;說起來;说起来;shuō qǐlái;speaking of
9350;說情;说情;shuōqíng;pleading
9351;說閒話;说闲话;shuō xiánhuà;gossip
9352;說真的;说真的;shuō zhēnde;honestly
9353;碩果;硕果;shuòguǒ;result
9354;司法;司法;sīfǎ;judicial
9355;司空見慣;司空见惯;sīkōng-jiànguàn;commonplace
9356;司令;司令;sīlìng;commander
9357;絲;丝;sī;silk
9358;絲綢;丝绸;sīchóu;silk
9359;絲毫;丝毫;sīháo;finest
9360;私房錢;私房钱;sīfángqián;private stash
9361;私家車;私家车;sījiāchē;private car
9362;私立;私立;sīlì;private
9363;私事;私事;sīshì;private matters
9364;私下;私下;sīxià;in private
9365;私營;私营;sīyíng;private
9366;私有;私有;sīyǒu;private
9367;私自;私自;sīzì;privately
9368;思路;思路;sīlù;ideas
9369;思念;思念;sīniàn;miss
9370;思前想後;思前想后;sīqián-xiǎnghòu;after thinking it over
9371;思索;思索;sīsuǒ;thinking
9372;撕;撕;sī;tear
9373;死心;死心;sǐxīn;give up
9374;死心塌地;死心塌地;sǐxīn-tādì;devoted
9375;四合院;四合院;sìhéyuàn;courtyard
9376;四季;四季;sìjì;four seasons
9377;四面八方;四面八方;sìmiàn-bāfāng;in all directions
9378;寺廟;寺庙;sìmiào;temple
9379;似曾相識;似曾相识;sìcéng-xiāngshí;déjà vu
9380;似是而非;似是而非;sìshì-érfēi;seemingly true but actually false
9381;伺機;伺机;sìjī;wait for an opportunity
9382;飼料;饲料;sìliào;feed
9383;飼養;饲养;sìyǎng;raising
9384;鬆綁;松绑;sōngbǎng;unbind
9385;鬆弛;松弛;sōngchí;relaxation
9386;聳立;耸立;sǒnglì;soaring
9387;送別;送别;sòngbié;farewell
9388;搜查;搜查;sōuchá;search
9389;搜集;搜集;sōují;collect
9390;搜救;搜救;sōujiù;search and rescue
9391;搜尋;搜寻;sōuxún;search
9392;艘;艘;sōu;ships
9393;甦醒;苏醒;sūxǐng;awakening
9394;酥;酥;sū;crispy
9395;俗;俗;sú;vulgar
9396;俗話;俗话;súhuà;proverb
9397;俗話說;俗话说;súhuà shuō;as the saying goes
9398;俗語;俗语;súyǔ;proverbs
9399;訴苦;诉苦;sùkǔ;complaining
9400;訴說;诉说;sùshuō;tell
9401;訴訟;诉讼;sùsòng;litigation
9402;素;素;sù;white
9403;素不相識;素不相识;sùbùxiāngshí;complete strangers
9404;素材;素材;sùcái;material
9405;素描;素描;sùmiáo;sketch
9406;素食;素食;sùshí;vegetarian diet
9407;素養;素养;sùyǎng;sustain
9408;塑造;塑造;sùzào;shape
9409;蒜;蒜;suàn;garlic
9410;算計;算计;suànjì;calculation
9411;算盤;算盘;suànpán;abacus
9412;算賬;算账;suànzhàng;accounting
9413;雖說;虽说;suīshuō;although
9414;隨處可見;随处可见;suíchù kě jiàn;everywhere
9415;隨大溜;随大溜;suí dàliù;follow the crowd
9416;隨機;随机;suíjī;random
9417;隨即;随即;suíjí;immediately
9418;隨身;随身;suíshēn;portable
9419;隨時隨地;随时随地;suíshí-suídì;anytime, anywhere
9420;隨心所欲;随心所欲;suíxīnsuǒyù;do as you please
9421;遂心;遂心;suìxīn;as you wish
9422;隧道;隧道;suìdào;tunnel
9423;損;损;sǔn;loss
9424;損壞;损坏;sǔnhuài;damage
9425;損人利己;损人利己;sǔnrén-lìjǐ;selfishness at the expense of others
9426;損傷;损伤;sǔnshāng;damage
9427;縮;缩;suō;shrink
9428;縮水;缩水;suōshuǐ;shrink
9429;縮影;缩影;suōyǐng;miniature
9430;所屬;所属;suǒshǔ;belonging to
9431;所謂;所谓;suǒwèi;the so-called
9432;所作所為;所作所为;suǒzuò-suǒwéi;what they did
9433;索賠;索赔;suǒpéi;claims
9434;索取;索取;suǒqǔ;request
9435;索性;索性;suǒxìng;so be it
9436;鎖定;锁定;suǒdìng;lock
9437;他人;他人;tārén;others
9438;塌;塌;tā;collapse
9439;踏上;踏上;tàshang;set foot on
9440;胎;胎;tāi;fetal
9441;胎兒;胎儿;tāi'ér;fetus
9442;台球;台球;táiqiú;billiards
9443;太極;太极;tàijí;tai chi
9444;太極拳;太极拳;tàijíquán;tai chi chuan
9445;太平;太平;tàipíng;taiping
9446;泰斗;泰斗;tàidǒu;grandmaster
9447;貪;贪;tān;greed
9448;貪婪;贪婪;tānlán;greed
9449;貪玩兒;贪玩儿;tānwánr;playful
9450;貪污;贪污;tānwū;corruption
9451;攤;摊;tān;stall
9452;癱;瘫;tān;paralysis
9453;癱瘓;瘫痪;tānhuàn;paralysis
9454;壇;坛;tán;altar
9455;談不上;谈不上;tán bu shàng;not worth mentioning
9456;談到;谈到;tándào;talking about
